name_en,name_nl,name_de,Google Dutch,Dutch Translator,Google German,German Translator
Project Manager,Projectleider,Projektmanager,Projectleider,Project Manager,Projektmanager,Projektmanager
Business Development Manager,Business Development Manager,Business Development Manager,Business Development Manager,Bedrijfsontwikkelingsmanager,Business Development Manager,Business Development Manager
Business Analyst,Business Analist,Wirtschaftsanalytiker,Business Analist,Bedrijfsanalist,Wirtschaftsanalytiker,Wirtschaftsanalytiker
Java Developer,Java Developer,Java Entwickler,Java Developer,Java Ontwikkelaar,Java Entwickler,Java-Entwickler
Account Manager,Account Manager,Account Manager,Account Manager,Accountmanager,Account Manager,Account Manager
.NET Developer,.NET Developer,Software Entwickler .NET,.NET Developer,.NET Ontwikkelaar,Software Entwickler .NET,.NET-Entwickler
Support Worker,Administratief Medewerker,Hilfs-arbeiter,Administratief Medewerker,Ondersteunend Werker,Hilfs-arbeiter,Support-Mitarbeiter
Software Engineer,Software Engineer,Softwareentwickler,Software Engineer,Software Ingenieur,Softwareentwickler,Software-Ingenieur
Maintenance Engineer,Onderhoudsmonteur,Wartungsingenieur,Onderhoudsmonteur,Onderhoudsingenieur,Wartungsingenieur,Instandhaltungsingenieur
PHP Developer,PHP Developer,PHP Entwickler ,PHP Developer,PHP Ontwikkelaar,PHP Entwickler,PHP-Entwickler
Sales Manager,Sales Manager,Vertriebler,Sales Manager,Verkoopmanager,Vertriebler,Vertriebsleiter
Front End Developer,Front-end developer,Entwickler für Benutzeroberflächen,Front-end developer,Front-end Ontwikkelaar,Entwickler für Benutzeroberflächen,Frontend-Entwickler
Finance Manager,Financieel manager,Finanzmanager,Financieel manager,Financieel Manager,Finanzmanager,Finanz-Manager
Web Developer,Web Developer,Webentwickler,Web Developer,webontwikkelaar,Webentwickler,Web-Entwickler
Team Leader,Teamleider,Gruppenführer,Teamleider,Teamleider,Gruppenführer,Teamleiter
Financial Controller,Financial Controller,Finanzkontrolleur,Financial Controller,Financieel Controleur,Finanzkontrolleur,Finanz-Controller
DevOps Engineer,DevOps Engineer,DevOps Ingenieur,DevOps Engineer,DevOps ingenieur,DevOps Ingenieur,DevOps-Ingenieur
Operations Manager,Operations Manager,Operations Manager,Operations Manager,Manager Operaties,Operations Manager,Betriebsleiter
Credit Controller,Credit Controller,Kreditcontroller,Credit Controller,Krediet Controleur,Kreditcontroller,Kredit-Controller
Field Service Engineer,Field Service Engineer,Kundendienst Techniker,Field Service Engineer,Buitendienst Ingenieur,Kundendienst Techniker,Service-Ingenieur im Außendienst
Marketing Manager,Marketing Manager,Marketing Manager,Marketing Manager,Marketingmanager,Marketing Manager,Marketing Manager
Buyer,Inkoper,Käufer,Inkoper,Inkoper,Käufer,Einkäufer
Developer,Ontwikkelaar,Entwickler,Ontwikkelaar,Ontwikkelaar,Entwickler,Entwickler
Accountant,Accountant,Buchhalter,Accountant,Accountant,Buchhalter,Bilanzbuchhalter
Network Engineer,Netwerktechnicus,Netzwerktechniker,Netwerktechnicus,Netwerk Ingenieur,Netzwerktechniker,Netzwerktechniker
Financial Accountant,Financieel Accountant,Finanzbuchhalter,Financieel Accountant,Financieel Accountant,Finanzbuchhalter,Finanzbuchhalter
Data Analyst,Data Analist,Datenanalyst,Data Analist,Gegevensanalist,Datenanalyst,Datenanalyst
Data Scientist,Data Scientist,Datenwissenschaftler,Data Scientist,Gegevenswetenschapper,Datenwissenschaftler,Datenwissenschaftler
C# Developer,C # Developer,C# Entwickler,C # Developer,C# Ontwikkelaar,C# Entwickler,C#-Entwickler
Infrastructure Engineer,Infrastructure Engineer,Infrastruktur-Ingenieur,Infrastructure Engineer,Infrastructuur ingenieur,Infrastruktur-Ingenieur,Infrastruktur-Ingenieur
Transport Planner,transport Planner,Transport-Planer,transport Planner,Transportplanner,Transport-Planer,Transport-Planer
Production Manager,Productie Manager,Produktionsleiter,Productie Manager,Productiemanager,Produktionsleiter,Produktionsleiter
Analyst,Analist,Analyst ,Analist,Analist,Analyst,Analytiker
HR Advisor,HR Adviseur,HR Advisor,HR Adviseur,HR Adviseur,HR Advisor,HR-Berater
Mechanical Engineer,Mechanisch ingenieur,Maschinenbauingenieur,Mechanisch ingenieur,Mechanisch ingenieur,Maschinenbauingenieur,Maschinenbauingenieur
Key Account Manager,Key Account Manager,Großkundenbetreuer,Key Account Manager,Keyaccount Manager,Großkundenbetreuer,Key-Account-Manager
Engineer,Ingenieur,Techniker,Ingenieur,Ingenieur,Techniker,Ingenieur
Contracts Manager,Contract manager,Vertragsmanager,Contract manager,Contractenbeheerder,Vertragsmanager,Manager für Verträge
Manager,manager,Manager,manager,Manager,Manager,Manager
Manufacturing Engineer,Productie technicus,Fertigungsingenieur,Productie technicus,Productie-ingenieur,Fertigungsingenieur,Fertigungsingenieur
Full Stack Developer,Full Stack Developer,Voll Stapel Entwickler,Full Stack Developer,Volledige Stack Ontwikkelaar,Voll Stapel Entwickler,Full Stack-Entwickler
Electrical Engineer,Electrotechnicus,Elektrikingenieur,Electrotechnicus,Elektro Ingenieur,Elektrikingenieur,Elektroingenieur
Commercial Manager,Commercieel manager,Kaufmännischer Leiter,Commercieel manager,Commercieel Manager,Kaufmännischer Leiter,Kaufmännischer Manager
Quality Manager,Kwaliteitsmanager,Qualitätsmanager,Kwaliteitsmanager,Kwaliteitsmanager,Qualitätsmanager,Qualitätsmanager
